#	#	#	#	#	#	#	#	#
1	25544U	98067A	98324.28472222	-.00003657	11563-4	00000+0	0	10
2	25544	51.5908	168.3788	0125362	86.4185	359.7454	16.05064833	05
1	25544U	98067A	98324.33235038	.11839616	11568-4	57349-2	0	28
2	25544	51.6173	168.1099	0123410	88.0187	273.4932	16.04971811	11
1	25544U	98067A	98324.45674522	-.00043259	11566-4	-18040-4	0	32
2	25544	51.5914	167.4317	0125858	91.3429	269.4598	16.05134416	30
1	25544U	98067A	98324.51913017	.00713053	11562-4	34316-3	0	48
2	25544	51.5959	167.1152	0123861	87.8179	273.5890	16.05002967	44
1	25544U	98067A	98324.51913017	.00713053	11562-4	34316-3	0	59
2	25544	51.5959	167.1152	0123861	87.8179	273.5890	16.05002967	44
1	25544U	98067A	98324.58140904	.00632617	11564-4	30202-3	0	62
2	25544	51.5951	166.7799	0123964	88.1727	273.3425	16.05074568	54
1	25544U	98067A	98324.64367013	.00537185	11565-4	25489-3	0	78
2	25544	51.5937	166.4421	0124158	88.3525	273.1690	16.05111828	65
1	25544U	98067A	98324.89267077	.00616830	11572-4	29139-3	0	84
2	25544	51.5947	165.1012	0122649	89.2072	272.3014	16.05443269	101
1	25544U	98067A	98325.01715306	.00586017	11577-4	26634-3	0	98
2	25544	51.5927	164.4358	0123823	89.5260	271.9768	16.05621877	127
1	25544U	98067A	98325.45376114	.01829530	18113-2	41610-2	0	111
2	25544	51.5938	162.0926	0074012	97.3081	262.5015	15.92299093	191
1	25544U	98067A	98325.51671211	.01832406	18178-2	41610-2	0	122
2	25544	51.5928	161.7497	0074408	97.6565	263.2450	15.92278419	200
1	25544U	98067A	98325.70495433	-.00030123	11429-4	-58797-4	0	131
2	25544	51.5959	160.7754	0074891	99.0987	261.5489	15.92210234	236
1	25544U	98067A	98325.83053217	.00196330	25648-4	43991-3	0	144
2	25544	51.5949	160.1100	0074476	100.0600	260.9662	15.92346198	255
1	25544U	98067A	98326.14429790	.00077952	13539-4	17917-3	0	156
2	25544	51.5972	158.4535	0074160	101.2108	259.7279	15.92399966	306
1	25544U	98067A	98326.45806612	.00112949	16033-4	25537-3	0	168
2	25544	51.5977	156.8003	0073625	102.0356	258.9234	15.92516844	355
1	25544U	98067A	98326.52081063	.00150260	19696-4	33521-3	0	181
2	25544	51.5943	156.4649	0074296	102.4048	258.5234	15.92533459	365
1	25544U	98067A	98326.52081105	.00154651	20197-4	34441-3	0	175
2	25544	51.5946	156.4659	0074392	102.4416	258.4952	15.92539511	366
1	25544U	98067A	98326.70905903	.00145697	19198-4	32441-3	0	184
