#	#	#	#	#	#	#	#	#
1	31122U	07012F	07107.67137443	-.00000048	00000-0	00000+0	0	9991
2	31122	098.0776	182.9118	0083885	212.2525	147.3197	14.54998092	57
1	31122U	07012F	07107.87721685	.00000403	00000-0	10000-3	0	9999
2	31122	098.0875	183.0943	0084566	211.8886	145.2358	14.54984883	78
1	31122U	07012F	07107.87769096	+.00000403	+00000-0	+10000-3	0	9997
2	31122	098.0868	183.0965	0084446	211.8909	147.7143	14.54984846	000086
1	31122U	07012F	07108.08400298	.00000404	00000-0	10000-3	0	9998
2	31122	098.0897	183.2909	0086118	210.9038	148.7431	14.54992348	110
1	31122U	07012F	07108.29030651	.00000404	00000-0	10000-3	0	9993
2	31122	098.0922	183.5003	0086310	210.3502	149.2714	14.54989410	140
1	31122U	07012F	07108.42784666	.00000404	00000-0	10000-3	0	9990
2	31122	098.0931	183.6334	0086267	209.7730	149.8565	14.54991456	169
1	31122U	07012F	07108.56538681	.00000404	00000-0	10000-3	0	9999
2	31122	098.0911	183.7611	0085661	209.5701	150.0871	14.55007636	184
1	31122U	07012F	07108.90922988	+.00000404	+00000-0	+10000-3	0	9994
2	31122	098.0880	184.0968	0085130	208.4498	151.1578	14.54994910	000231
1	31122U	07012F	07109.04677892	.00000404	00000-0	10000-3	0	9991
2	31122	098.0879	184.2290	0085406	208.0101	151.6531	14.54996322	257
1	31122U	07012F	07109.87201775	.00000404	00000-0	10000-3	0	9995
2	31122	098.0847	185.0282	0086286	205.4527	154.2541	14.55001126	375
1	31122U	07012F	07110.62848838	.00000404	00000-0	10000-3	0	9997
2	31122	098.0876	185.7595	0085476	203.1259	156.6027	14.54997406	489
1	31122U	07012F	07111.86635199	.00000404	00000-0	10000-3	0	9998
2	31122	098.0873	186.9587	0085375	199.1740	160.6228	14.54997518	669
1	31122U	07012F	07112.41651194	.00000404	00000-0	10000-3	0	9993
2	31122	098.0872	187.4919	0085603	197.2453	162.5932	14.54998935	743
1	31122U	07012F	07112.76037169	.00000404	00000-0	10000-3	0	9991
2	31122	098.0875	187.8244	0085697	196.4983	163.3607	14.54995889	791
1	31122U	07012F	07112.82913831	.00000404	00000-0	10000-3	0	9997
2	31122	098.0875	187.8909	0085697	196.2850	163.5317	14.54950734	802
1	31122U	07012F	07112.89791580	.00000404	00000-0	10000-3	0	9999
2	31122	098.0875	187.9575	0085697	196.0717	163.8066	14.54995276	817
1	31122U	07012F	07113.92946413	.00000404	00000-0	10000-3	0	9991
2	31122	098.0856	188.9570	0085810	192.8955	166.9999	14.54994308	967
1	31122U	07012F	07114.61716786	.00000405	00000-0	10000-3	0	9997
2	31122	098.0859	189.6235	0085969	190.6793	169.2620	14.54994827	1062
1	31122U	07012F	07114.75470815	.00000184	00000-0	51234-4	0	9991
2	31122	098.0859	189.7566	0085969	190.2527	169.6921	14.54994121	1088
1	31122U	07012F	07115.92380253	+.00000184	+00000-0	+51234-4	0	9997
2	31122	098.0858	190.8881	0086062	186.6582	173.3417	14.54993833	001255
1	31122U	07012F	07116.13011449	.00000184	00000-0	51234-4	0	9999
2	31122	098.0863	191.0879	0086064	186.0124	174.0030	14.54993755	1284
1	31122U	07012F	07116.61150657	+.00000184	+00000-0	+51234-4	0	9997
2	31122	098.0863	191.5534	0086130	184.5289	175.5144	14.54993437	001353
1	31122U	07012F	07116.95535783	.00000184	00000-0	51234-4	0	9991
2	31122	098.0863	191.8862	0086130	183.4625	176.6003	14.54993817	1406
1	31122U	07012F	07117.71183289	.00000184	00000-0	51234-4	0	9996
2	31122	098.0863	192.6173	0085924	181.1034	179.0058	14.54993790	1518
1	31122U	07012F	07118.60584756	+.00000184	+00000-0	+51234-4	0	9999
2	31122	098.0870	193.4823	0085852	178.3626	181.7858	14.54993330	001644
1	31122U	07012F	07119.01846944	.00000184	00000-0	51234-4	0	9995
2	31122	098.0861	193.8815	0085845	177.0724	183.0952	14.54993219	1709
1	31122U	07012F	07119.84371431	+.00000184	+00000-0	+51234-4	0	9990
2	31122	098.0882	194.6822	0086485	174.4101	185.8041	14.54992736	001825
1	31122U	07012F	07120.11879634	.00000184	00000-0	51234-4	0	9990
2	31122	098.0888	194.9489	0086457	173.6063	186.6262	14.54992729	1860
1	31122U	07012F	07120.66895841	+.00000184	+00000-0	+51234-4	0	9998
2	31122	098.0886	195.4813	0086424	172.0203	188.2382	14.54992967	001942
1	31122U	07012F	07121.15035142	.00000184	00000-0	51234-4	0	9993
2	31122	098.0868	195.9468	0086416	170.6240	189.6624	14.54992989	2016
1	31122U	07012F	07121.76928394	+.00000139	+00000-0	+41193-4	0	9993
2	31122	098.0872	196.5457	0086445	168.5891	191.7281	14.54993282	002106
1	31122U	07012F	07122.25067616	.00000139	00000-0	41193-4	0	9999
2	31122	098.0873	197.0114	0086544	167.0975	193.2479	14.54993424	2171
1	31122U	07012F	07122.73206615	+.00000139	+00000-0	+41193-4	0	9996
2	31122	098.0875	197.4781	0086553	165.6426	194.7229	14.54993923	002243
