#	#	#	#	#	#	#	#	#
1	33497U	09002F	09023.34535281	-.00000048	00000-0	00000+0	0	9994
2	33497	098.0324	135.0332	0005461	194.6988	165.4059	14.68624124	00
1	33497U	09002F	09023.48161663	-.00260383	00000-0	-47791-1	0	9999
2	33497	098.0431	135.1742	0002100	140.5835	219.0129	14.67493666	23
1	33497U	09002F	09023.75444066	-.00003846	00000-0	-67005-3	0	9991
2	33497	098.0311	135.4325	0000829	201.8417	158.2686	14.67557512	60
1	33497U	09002F	09024.16353107	.00036027	00000-0	63223-2	0	9994
2	33497	098.0323	135.8310	0001128	192.7321	167.3961	14.67577945	122
1	33497U	09002F	09024.43624880	-.00050865	00000-0	-90317-2	0	9995
2	33497	098.0311	136.0991	0001456	198.0132	162.0724	14.67539252	162
1	33497U	09002F	09024.77715984	.00001129	00000-0	20729-3	0	9996
2	33497	098.0313	136.4335	0001113	196.7586	163.3524	14.67560253	211
1	33497U	09002F	09024.91352338	+.00000760	+00000-0	+14241-3	0	9994
2	33497	098.0312	136.5673	0001093	195.5250	164.5898	14.67559627	000230
1	33497U	09002F	09025.18624934	.00000595	00000-0	11321-3	0	9990
2	33497	098.0318	136.8348	0001132	193.6990	166.4201	14.67559548	277
1	33497U	09002F	09025.45897402	.00001069	00000-0	19683-3	0	9998
2	33497	098.0317	137.1019	0001201	194.5034	165.6185	14.67561387	312
1	33497U	09002F	09025.79987926	.00000617	00000-0	11707-3	0	9993
2	33497	098.0315	137.4358	0001179	195.6357	164.4799	14.67560732	369
1	33497U	09002F	09025.93624190	+.00000294	+00000-0	+60146-4	0	9993
2	33497	098.0315	137.5695	0001231	194.8073	165.3072	14.67559827	000388
1	33497U	09002F	09026.20896753	.00000306	00000-0	62336-4	0	9997
2	33497	098.0316	137.8369	0001244	193.6088	166.5095	14.67560037	425
1	33497U	09002F	09026.48169162	.00000512	00000-0	98592-4	0	9996
2	33497	098.0316	138.1045	0001263	193.2303	166.8869	14.67561096	469
1	33497U	09002F	09026.82259748	.00000365	00000-0	72654-4	0	9991
2	33497	098.0314	138.4385	0001255	193.2125	166.9023	14.67560815	517
1	33497U	09002F	09027.09532304	.00000196	00000-0	42996-4	0	9991
2	33497	098.0314	138.7059	0001272	192.0435	168.0726	14.67560216	550
1	33497U	09002F	09027.43622880	.00000280	00000-0	57770-4	0	9998
2	33497	098.0314	139.0400	0001301	191.4790	168.6378	14.67560856	609
1	33497U	09002F	09027.84531610	.00000122	00000-0	29867-4	0	9994
2	33497	098.0312	139.4409	0001276	191.8294	168.2838	14.67560180	667
1	33497U	09002F	09028.11804211	.00000057	00000-0	18442-4	0	9999
2	33497	098.0315	139.7085	0001299	190.4664	169.6510	14.67559860	704
1	33497U	09002F	09028.45894811	.00000077	00000-0	21888-4	0	9991
2	33497	098.0314	140.0427	0001319	189.7769	170.3404	14.67560063	751
